Name, Original, Optimized
whetstone, 1.18, 1.1
whetstone, 1.16, 1.12
whetstone, 1.16, 1.11
whetstone, 1.18, 1.11
whetstone, 1.16, 1.11
matmul_f64_4x4, 2.84, 2.77
matmul_f64_4x4, 2.87, 2.88
matmul_f64_4x4, 2.81, 2.86
matmul_f64_4x4, 2.86, 2.83
matmul_f64_4x4, 2.81, 2.83
revertBits, 0.24, 0.22
revertBits, 0.24, 0.23
revertBits, 0.24, 0.23
revertBits, 0.24, 0.22
revertBits, 0.24, 0.22
mandel, 0.28, 0.26
mandel, 0.27, 0.27
mandel, 0.28, 0.27
mandel, 0.27, 0.28
mandel, 0.28, 0.26
evalloop, 0.47, 0.32
evalloop, 0.5, 0.32
evalloop, 0.47, 0.32
evalloop, 0.48, 0.31
evalloop, 0.48, 0.31
ReedSolomon, 5.15, 5.25
ReedSolomon, 5.14, 5.16
ReedSolomon, 5.16, 5.19
ReedSolomon, 5.16, 5.18
ReedSolomon, 5.21, 5.15
lowercase, 23.0, 16.61
lowercase, 23.06, 16.46
lowercase, 22.85, 16.51
lowercase, 22.92, 16.51
lowercase, 22.94, 16.55
pi, 0.79, 0.72
pi, 0.74, 0.73
pi, 0.78, 0.78
pi, 0.73, 0.72
pi, 0.76, 0.72
mandel-2, 1.21, 1.08
mandel-2, 1.23, 1.08
mandel-2, 1.2, 1.06
mandel-2, 1.22, 1.04
mandel-2, 1.22, 1.08
perlin, 6.34, 4.91
perlin, 6.38, 4.94
perlin, 6.36, 4.87
perlin, 6.32, 4.82
perlin, 6.36, 4.9
ffbench, 0.8, 0.79
ffbench, 0.73, 0.73
ffbench, 0.78, 0.73
ffbench, 0.74, 0.71
ffbench, 0.74, 0.76
himenobmtxpa, 3.11, 2.96
himenobmtxpa, 3.02, 3.02
himenobmtxpa, 3.11, 2.92
himenobmtxpa, 3.12, 2.91
himenobmtxpa, 3.08, 3.02
fp-convert, 4.29, 4.42
fp-convert, 4.35, 4.43
fp-convert, 4.33, 4.37
fp-convert, 4.27, 4.37
fp-convert, 4.25, 4.34
fbench, 0.78, 0.79
fbench, 0.8, 0.78
fbench, 0.78, 0.78
fbench, 0.81, 0.78
fbench, 0.78, 0.78
salsa20, 12.42, 12.23
salsa20, 12.44, 12.25
salsa20, 12.56, 12.29
salsa20, 12.57, 12.21
salsa20, 12.6, 12.32
dt, 0.4, 0.39
dt, 0.4, 0.42
dt, 0.42, 0.42
dt, 0.42, 0.39
dt, 0.41, 0.4
richards_benchmark, 1.02, 0.96
richards_benchmark, 1.02, 0.93
richards_benchmark, 1.0, 0.9
richards_benchmark, 1.02, 0.95
richards_benchmark, 1.01, 0.88
oourafft, 8.13, 8.08
oourafft, 8.08, 8.03
oourafft, 8.09, 8.09
oourafft, 8.07, 7.95
oourafft, 8.1, 7.96
